"code";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"Attack.intensity";0,409758817826173;0,230910553669658;-0,2485742768556
"Balance";-0,319603845155967;-0,110138369399483;0,172799218926831
"Smooth";-0,134977672574941;-0,0246679485176232;0,0667240724551353
"Bitterness";0,0674872192594624;-0,0225510201887114;-0,033709121329074
"Intensity";0,192157499741791;0,128112415047574;-0,122457587983769
"Harmony";-0,0215726184601153;0,0283808316277023;0,001212761025489
"Typical";-0,221881513537823;-0,0699676704096466;0,11791656355717
