"code";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"Attack.intensity";0,509100487609975;0,381504639932661;-0,102086395573815
"Balance";-0,381396675010989;-0,166749354244669;0,103104546724615
"Smooth";-0,182815948013071;-0,0574636032463456;0,0568038614578388
"Bitterness";0,095324863809336;0,169761196862207;-0,0889364926181376
"Intensity";0,22415660509252;0,190201801978936;-0,0405582118823447
"Harmony";-0,0201065755534496;0,0361986161214172;0,0170207812787353
"Typical";-0,189547534575219;-0,0566794933930417;0,0564373391512073
